FID,ASSETID,INST_YR,MATERIAL,WIDTH,OWNERSHIP,CLASS1,CLASS2,NAME1,NAME2,GlobalID,LIFESTATUS,Shape_len,Shape__Length
422,TR562,2017,Asphalt,3.5,Public,Commuter,,,,{70941FFF-432D-42FD-8F0B-E38179C0F834},Active,,107.267463311481
423,TR563,2017,Asphalt,3.5,Public,Commuter,,,,{E06BF026-4F38-4001-860E-BF04947F333A},Active,,142.669365643806
424,TR564,2017,Asphalt,3.5,Public,Commuter,,,,{B6CE21C0-8A96-41F2-B9DF-DC8495BF3EDD},Active,,48.9467645631902
425,TR565,2017,Asphalt,3.5,Public,Commuter,,,,{4AF370C7-C221-4720-AC22-27EE59CD0DD1},Active,,363.436674010611
426,TR566,2017,Asphalt,3.5,Public,Commuter,,,,{D2B231CD-F4C8-41B9-A4CA-97F46557E89D},Active,,60.6963484041371
427,TR567,2017,Asphalt,2.5,Public,Commuter,,,,{383F61E3-2181-4741-B804-391D53C5AD79},Active,,38.6648518934881
428,TR568,2017,Asphalt,3,Public,Commuter,,,,{D6E375A7-B638-4305-844C-C6F1733D00E4},Active,,85.9352703792112
429,TR569,2017,Gravel,2,Public,Commuter,,,,{ACCD3271-D2D3-4757-8F26-F1CC4631885B},Active,,494.064771117818
430,TR071,2003,Paved,1.5,Public,Commuter,Shortcut,,,{31D8B76D-B53C-4B00-8C81-5A130BA60717},Active,,28.3534098047535
431,TR570,2017,Gravel,2,Public,Commuter,,,,{BF809F64-7AE2-43F5-9516-399940AB0DAD},Active,,539.60861227519
432,TR571,2017,Gravel,2,Public,Commuter,,,,{B937056C-0D6F-4A99-B115-95A261FE1833},Active,,197.624736073807
433,TR572,2017,Asphalt,3,Public,Commuter,,,,{E058DFCA-01C5-485C-A146-39C200561F4F},Active,,40.1271017545889
434,TR573,2017,Asphalt,2.75,Public,Commuter,,,,{30A2E6C9-E798-48B1-A4B4-BF675A14CA39},Active,,46.9160414250145
435,TR574,2017,Gravel,4,Public,Commuter,,,,{C2C227E2-1D77-4D1A-90BD-A4130643A402},Active,,393.441116665749
436,TR575,2017,Gravel,2,Public,Commuter,,,,{52A8EE2D-E270-4AFB-BF9E-CE7EEA713F6C},Active,,15.5086830686547
437,TR576,2017,Gravel,4,Public,Commuter,,,,{E5224723-D543-4F0F-9DE4-D0A05E4DC07B},Active,,310.135074404185
438,TR577,2017,Gravel,1.5,Public,Commuter,,,,{A5948937-714E-406E-B441-950EFABE19DE},Active,,453.450411895053
439,TR578,2017,Gravel,1.5,Public,Commuter,,,,{324FAE0E-E783-4E1D-8C7F-79CBB64F78EB},Active,,386.532911059206
440,TR579,2017,Gravel,1.5,Public,Commuter,,,,{F5C65D21-7FC6-4700-B1B3-982B2BE4B2FB},Active,,340.383331037621
441,TR580,2017,Asphalt,3.5,Public,Commuter,,,,{62A7FAFE-BE17-440D-B5E1-72CD2AB57906},Active,,473.036586781408
442,TR581,2017,Asphalt,3,Public,Commuter,,,,{3B6447CC-2667-4B7D-BD3B-E05CF9503C3C},Active,,28.087856716419
443,TR582,2017,Concrete,9,Public,Commuter,,,,{7AA347D3-D807-4209-A1CC-74EDB4A11A7A},Active,,36.5518094881888
444,TR583,2017,Asphalt,3.5,Public,Commuter,,,,{CDB22C3C-555F-40D4-9882-DE253518F11A},Active,,125.511494823543
445,TR584,2017,Asphalt,3,Public,Commuter,,,,{EAED3D82-1B35-4971-82D5-46C2DB40AE56},Active,,44.2594184480918
446,TR585,2017,Asphalt,3.5,Public,Commuter,,,,{69DE9768-9C34-4C25-AA58-B6240F871A5F},Active,,357.456349516485
447,TR586,2017,Gravel,1.5,Public,Recreational,,,,{67D2918B-2E43-4507-BDE3-3BAC369A75A8},Active,,16.2088694690131
448,TR029,2004,Gravel,1.5,Public,Recreational,Recreational,,,{5052CF41-C367-40DD-BCBA-CB29D6D01C98},Active,,89.6902833547353
449,TR025,2000,Gravel,1.5,Public,Recreational,Recreational,,,{CE0010A8-1CF1-491C-AC74-12344FB4F18B},Active,,381.90068862838
450,TR526,2014,Paved,2.5,Public,Commuter,Commuter,,,{3DF503D8-9AA9-4392-9DD2-F6F54756344C},Active,,248.873391038837
451,TR587,2017,Concrete,2,Public,Commuter,,,,{14420817-4B84-4962-A0B4-D6D8CE8999E6},Active,,28.0460227214904
452,TR591,2017,Concrete,2,Public,Commuter,,,,{295CFF2A-AF9D-4829-BD53-F3380FF9394F},Active,,576.455646693647
453,TR588,2017,Concrete,2,Public,Commuter,,,,{7CA06772-1D61-44D3-A712-3507F0FB75D9},Active,,57.1062625756772
454,TR590,2017,Concrete,2,Public,Commuter,,,,{B44370A3-3E60-44ED-A2CE-6DAF866F4F71},Active,,112.455567885589
455,TR589,2017,Concrete,2,Public,Commuter,,,,{756B1F8F-EC96-4968-AF6B-540663334B87},Active,,642.702672530275
456,TR362,2008,Gravel,,Public,Recreational,Recreational,,,{1A900F36-CBEE-4C99-B775-A0C21C9A162A},Active,,47.1313822647788
457,TR592,,Gravel,,Public,Recreational,,,,{F2E1ED7E-B585-430F-9FA1-DEAC01B1EB66},Active,,34.2151612220886
458,TR361,2008,Gravel,,Public,Recreational,Recreational,,,{5EF451EA-B3E0-4C42-A07C-B68A4EB471A4},Active,,17.4001081903623
459,TR360,2008,Gravel,,Public,Recreational,Recreational,,,{12D5B184-A0A0-4A50-AF5B-6AA3396657A4},Active,,361.019731243303
460,TR373,2008,Gravel,,Public,Recreational,Recreational,,,{5E32D23C-46BD-4AA7-94F0-07AD81A58B7C},Active,,25.5737583493952
461,TR156,2002,Gravel,1.5,Public,Recreational,Recreational,Transcanada Trail,,{EF66757F-F2B6-4919-A341-2401AD193FA6},Active,,277.705186368527
462,TR498,2012,Paved,2.5,Public,Recreational,Recreational,,,{A7670169-4849-4E30-9FFA-F3FD599C0E98},Active,,68.1104025522119
463,TR593,2017,Paved,2.5,Public,Commuter,Commuter,,,{7DAD374C-4F61-4322-9F64-C8A3D1F3A55A},Active,,160.555270224722
464,TR599,2019,Paved,2.5,Public,Commuter,Commuter,,,{A1E6600C-00A9-43DA-9153-410BF6DDB832},Active,,103.824616445464
465,TR603,2014,Asphalt,1.8,Public,Commuter,Commuter,,,{FD7DA172-D347-4163-AE8F-5CFF70A113D1},Active,,75.6514309583132
466,TR604,2014,Asphalt,1.8,Public,Commuter,Commuter,,,{F087E325-E8DC-4865-8C6D-38D242D57D15},Active,,37.1015173253199
467,TR606,2017,Gravel,1,Public,Recreational,Recreational,,,{170ED1FD-D11F-4F05-82C6-D18373285FBF},Active,,34.9066224243705
468,TR608,2019,Paved,2.5,Public,Commuter,Commuter,,,{5491C04B-A9C2-47D2-9D48-B5E60F8EB90A},Active,,26.5257842381183
469,TR609,2019,Paved,2.5,Public,Commuter,Commuter,,,{EDC7EE42-0A9F-484E-9FDD-51A65B66FA8B},Active,,28.8077022338708
470,TR610,2019,Paved,2.5,Public,Commuter,Commuter,,,{F5ADF375-11CB-415D-B6A2-9EFFFF021D4F},Active,,7.63807025198497
471,TR611,2019,Paved,2.5,Public,Commuter,Commuter,,,{E340C7E5-0177-499A-A5C6-0DECB44B6D37},Active,,23.3322199723675
472,TR612,2019,Paved,2.5,Public,Commuter,Commuter,,,{5B510339-E91A-4AD9-8A9B-DC4B6CE3B909},Active,,258.915184703703
473,TR613,2019,Paved,2.5,Public,Commuter,Commuter,,,{2DBC4BC5-708D-4609-82D2-6DE73C9B49A8},Active,,9.37073591525455
474,TR607,2017,Paved,2.5,Public,Commuter,Commuter,,,{88B2DE0A-1D7C-46CE-9BCA-5C6E25EA91F6},Active,,218.926553534467
475,TR594,,Concrete,,Public,Commuter,Commuter,,,{8584A453-C332-4068-A66E-447F5DB36DE6},Active,,235.606096683756
476,TR595,,Concrete,,Public,Commuter,Commuter,,,{96599A9F-3D04-4B83-B957-747318FC5B96},Active,,298.180491530791
477,TR600,2018,Paved,1.5,Public,Commuter,Commuter,,,{2CEDF983-683A-4BE1-95B4-8F299D26CAA4},Active,,18.6820520533918
478,TR598,2018,Paved,1.5,Public,Commuter,Commuter,,,{29A05144-2CA4-4EFA-BB54-C9E48B1B7CF7},Active,,37.2482836042876
479,TR601,2018,Paved,1.5,Public,Commuter,Commuter,,,{1644CD1B-252E-4C00-922F-7BCFF0F7945F},Active,,16.2150301838186
480,TR615,2019,Gravel,,Public,Recreational,Recreational,Pond equipment access stairs,,{DE72934C-070C-44D6-95F3-D5724BCF8B44},Active,,7.62021059486276
481,TR036,2004,Paved,1.5,Public,Recreational,Recreational,,,{025D7B27-1C8A-49EA-A74A-09DDAC230957},Active,,677.200666985021
482,TR616,2017,Gravel,1.5,Public,Recreational,Recreational,,,{154D0154-66A4-4BED-85C2-9C55AE6C983C},Active,,140.770417780694
483,TR617,2017,Gravel,1.5,Public,Recreational,Recreational,,,{E0023788-26B6-4CBF-A1CE-10DE26790875},Active,,56.9038941682418
484,TR618,2017,Gravel,1.5,Public,Recreational,Recreational,,,{5B42FF97-E98A-40C2-85E0-B022A88EDC0B},Active,,387.126599599427
485,TR619,2017,Gravel,1.5,Public,Recreational,Recreational,,,{B9E8ADFE-4F89-4705-BBCA-35F137FDED4F},Active,,103.729762531118
486,TR620,2017,Asphalt,1.5,Public,Commuter,Recreational,,,{C8234643-52CF-42C6-9369-3EFBA68DAE2C},Active,,310.49548326253
487,TR621,2017,Concrete,1.5,Public,Recreational,Recreational,,,{126471EF-3FFD-42DC-A14E-3DAE2F612C65},Active,,48.674604414249
488,TR622,2017,Gravel,1.5,Public,Recreational,Recreational,,,{2F9FC05A-53ED-4898-8A32-583CDB7496F9},Active,,41.2107496997589
489,TR623,2017,Asphalt,2.5,Public,Commuter,Commuter,,,{779056DC-A515-44C5-87D4-BECD629731D9},Active,,300.941836413008
490,TR624,2017,Asphalt,2.5,Public,Commuter,Commuter,,,{8661BA5F-F289-430D-B995-277590839D8E},Active,,554.749277135661
491,TR625,2017,Asphalt,2.5,Public,Commuter,Commuter,,,{44EBA7C0-3F0F-4BF4-8F61-433E864E732C},Active,,147.253772391813
492,TR626,2017,Asphalt,1.5,Public,Commuter,Commuter,,,{7B9AC284-107C-4076-B15B-A2FE9A21DF8C},Active,,331.06467022488
493,TR627,2017,Gravel,1.5,Public,Recreational,Recreational,,,{586ACB7A-7D8C-47BC-849D-8DB75965D280},Active,,170.256980396502
494,TR628,2017,Gravel,1.5,Public,Recreational,Recreational,,,{B2AD8F0A-7DA7-48C2-8D83-5CC32050D96B},Active,,147.009096126794
495,TR629,2017,Asphalt,3,Public,Commuter,Commuter,,,{088BAE48-086C-4F52-A9B8-C9C2D438F95B},Active,,160.13997233481
496,TR630,2017,Asphalt,3,Public,Commuter,Commuter,,,{D7680052-4EEC-4083-BAEA-F14960990F57},Active,,43.6909601130888
497,TR632,2006,Paved,2.5,Public,Recreational,Recreational,,,{C6152ACD-E8EF-4AF5-9E2B-7F2939D8B3EF},Active,,431.444115737962
498,TR631,2020,Gravel,1,Public,Recreational,Shortcut,,,{50CB5467-F541-4336-9A2E-8EED3FC46BED},Active,,15.5430949629877
499,TR635,2020,Asphalt,3,Public,Commuter,Commuter,,,{9C5EBFD3-D604-4B5F-AE08-91423A15A899},Active,,297.76559668087
500,TR636,2020,Paved,1,Public,Recreational,Recreational,,,{770BB0C4-F62E-4DD4-AF41-D75A47C379D0},Active,,139.696092552206
501,TR638,2020,Gravel,1,Public,Recreational,Recreational,,,{55A5DAF7-9D80-40D2-AEC6-31B130BA3F6F},Active,,5.46352825809895
502,TR639,2020,Paved,6,Public,Recreational,Recreational,,,{A921BA07-E6BD-492A-86A5-F4BC1F2821BA},Active,,8.54799946111747
503,TR640,2020,Paved,2.5,Public,Recreational,Recreational,,,{055563C2-E822-4390-943E-C0CC358A217A},Active,,128.705355666638
504,TR642,2017,Concrete,1.5,Public,Recreational,Recreational,,,{B74447F2-3186-479A-82B2-EADE623EC80D},Active,,27.0759122021291
505,TR641,2020,Gravel,1.5,Public,Commuter,Commuter,,,{031980D8-1BCC-4872-A3CF-6251D6D3A139},Active,,499.279588741269
506,TR644,2020,Gravel,1.5,Public,Recreational,Recreational,,,{9DB61ACF-D4E5-4246-8687-F0818F4FA9F4},Active,,152.209291422632
507,TR643,2020,Gravel,1.5,Public,Recreational,Recreational,,,{0E5B0D7C-B2F3-47AC-A748-87DD8B97D200},Active,,36.0778750757236
508,TR281,2004,Gravel,1.5,Public,Recreational,Recreational,,,{405FF5A6-BC3D-469D-ABD2-A065C7C01042},Active,,1614.68054794408
509,TR541,,Organic,,Private,Recreational,Recreational,ACA Trails,,{133D1CD4-D021-4B84-ABCD-E96A8EEA0909},Active,,1912.78994167409
510,TR542,,Organic,,Private,Recreational,Recreational,ACA Trails,,{ABAA8319-295D-4539-B719-1AA436F14841},Active,,551.405312474517
511,TR146,2002,Wood,1.5,Public,Recreational,Recreational,,,{FC19B6EC-5A33-47B3-BF16-5ACD6ADF5318},Active,,598.445214982846
512,TR645,2009,Gravel,2,Public,Commuter,Commuter,,,{E572BFC0-A8F2-47D6-9A49-8F3E71A6F184},Active,,82.5589900568904
513,TR038,2004,Gravel,1.5,Public,Recreational,Recreational,,,{B7CB347B-6C98-4656-9ECB-14632B62C43A},Active,,334.845669594509
514,TR210,2002,Organic,1.5,Public,Recreational,Recreational,,,{2B1B4C26-4B74-486F-9499-20C26FDE6A7D},Active,,467.163918009406
515,TR274,2009,Gravel,,Public,Recreational,Recreational,,,{B4F9F723-A4A7-4734-A8C7-E6EC773BA6A6},Active,,288.477637693828
516,TR646,2000,Gravel,1.5,Public,Recreational,Shortcut,,,{9961D2F4-0AE0-4BC6-B0FF-E64AEC4E8061},Active,,61.2222478555609
517,TR647,2005,Gravel,1.5,Public,Recreational,Recreational,,,{188493B3-1B39-48BE-B437-A811F6742A23},Active,,61.8541118760805
518,TR665,2021,Paved,2.5,Public,Commuter,Commuter,,,{C097B4DB-E69D-4DF8-86F3-C03BBFD31A39},Active,,160.449779068067
519,TR666,2021,Paved,3,Public,Commuter,Commuter,,,{00B691D0-0EE2-4981-8DBB-C1300986B982},Active,,47.428798264991
520,TR196,2002,Paved,2.5,Public,Commuter,Commuter,,,{F466AF4F-19D1-4B56-BD17-2240D5551A95},Active,,21.311606698216
521,TR445,2002,Paved,2.5,Public,Recreational,Shortcut,,,{1AA0F842-4A25-44EB-91C6-59FD1F47E844},Active,,35.0786793905409
522,TR667,2021,Paved,2.5,Public,Commuter,Commuter,,,{751375E0-2271-46EC-B568-19D30C61FBB7},Active,,14.6046785872109
523,TR668,2021,Paved,2.5,Public,Commuter,Commuter,,,{02F30757-D54C-45AD-9D99-875E33A6B14D},Active,,15.0998964505339
524,TR331,1997,Gravel,,Public,Recreational,Recreational,,,{1CAE9A37-0482-48B3-B784-331A562BF694},Active,,736.09561343366
525,TR672,2021,Paved,4,Public,Commuter,Commuter,,,{829D2289-2811-47A4-8E57-5C3CD666E3B9},Active,,12.3220931227083
526,TR633,2020,Asphalt,2.5,Public,Commuter,Commuter,,,{9B4FB8E6-C808-40A3-B1C6-1FD6031D980F},Active,,159.646518329039
527,TR674,2021,Paved,3,Public,Commuter,Commuter,,,{43230BCC-9592-4D2F-9B26-C70E440D2B27},Active,,331.648278482237
528,TR675,2021,Paved,3,Public,Commuter,Commuter,,,{00EDBDEA-8B60-43E0-A564-872E7D8D1609},Active,,9.55028842582467
529,TR676,2021,Paved,3,Public,Commuter,Commuter,,,{33C2E50F-FEDD-488B-BEB6-45747EF00DF9},Active,,9.47884344525805
530,TR677,2021,Paved,3,Public,Commuter,Commuter,,,{8899BBAF-B8B6-48F0-B628-16C159AA2EE5},Active,,15.8266893346214
531,TR679,2021,Paved,3,Public,Commuter,Commuter,,,{E424524F-B3C3-4067-A4A3-067C794EB264},Active,,138.779468409609
532,TR634,2020,Asphalt,3,Public,Commuter,Commuter,,,{2C56DA7A-7A8A-415B-B835-4E47DD63F590},Active,,233.306936605295
533,TR680,2021,Paved,3,Public,Commuter,Commuter,,,{3F9A1D40-9B11-400A-AB73-FAF7DF98D199},Active,,68.9941271603097
534,TR681,2021,Paved,3,Public,Commuter,Commuter,,,{3E524CF8-CE7F-49E8-B350-E99D225FB806},Active,,144.546273410308
535,TR556,2017,Asphalt,2.7,Public,Commuter,Commuter,,,{B2AC862F-E7C9-4310-9F16-4677850EC559},Active,,96.8410447355771
536,TR552,2017,Concrete,3,Public,Commuter,Commuter,Bow Valley Trail CPR Corridor,,{90DC1DC0-F925-4EF9-98FA-0CC08E4AB959},Active,,91.2513810283356
537,TR614,2017,Gravel,3,Public,Commuter,Commuter,,,{08C0EB6A-E47F-47A5-9900-0BD04F309B41},Active,,22.80083595553
538,TR682,2021,Paved,3,Public,Commuter,Commuter,,,{50AAE67A-48B9-40FA-8ECA-FC960983C25A},Active,,206.440588607274
539,TR683,2021,Paved,3,Public,Commuter,Commuter,,,{26A2CE0A-7E3B-4DF8-84EF-E54646EF6309},Active,,131.237675901199
540,TR684,2021,Paved,3,Public,Commuter,Commuter,,,{776009DD-9259-48E0-9F29-6E24AF4323DA},Active,,145.941942187333
541,TR685,2021,Paved,3,Public,Commuter,Commuter,,,{2D65E236-39A4-4932-95FA-442875F34712},Active,,172.851834288262
542,TR475,2002,Paved,1.5,Public,Recreational,Recreational,,,{1F6D3DD3-0A10-44F2-9D72-FB3C6924D552},Active,,45.4710912338747
543,TR474,2002,Paved,1.5,Public,Recreational,Recreational,,,{25B3A2F0-BCD1-4B24-9DFC-1AEF3D774F93},Active,,39.124133628857
544,TR686,2021,Paved,2.5,Public,Commuter,Commuter,,,{C765389B-4DCB-4528-8D67-55ECE54DA6B4},Active,,23.7188884930575
545,TR687,2021,Paved,3,Public,Commuter,Commuter,,,{81B24963-4DC5-4943-BFA0-F7A820CA79CA},Active,,17.3552330074669
546,TR688,2021,Paved,1.5,Public,Commuter,Commuter,,,{1AEFFE99-EE97-47D9-BCEB-AE73F3510F40},Active,,36.1375000370995
547,TR534,2011,Paved,2.5,Public,Recreational,Recreational,,,{753600F0-DC1A-4BD7-B577-9C583827C80E},Active,,300.749348604486
548,TR670,2021,Paved,3,Public,Commuter,Commuter,,,{9D2370C3-15D1-456A-8209-88D050FCCE1C},Active,,84.0338714105093
549,TR146,2002,Gravel,1.5,Public,Recreational,Recreational,,,{A6CAC965-DD7B-4B3C-BC49-72E3114F661F},Active,,255.056368344961
550,TR689,2021,Paved,4,Public,Commuter,Commuter,,,{7E73276F-A88B-4125-AFC6-F7D572A0484F},Active,,192.622268959084
551,TR602,2014,Paved,2,Public,Commuter,Commuter,,,{B54837FE-1BD1-450A-ABD7-8C289CB892A7},Active,,48.5831083816341
552,TR605,2017,Gravel,1,Public,Recreational,Recreational,,,{B64CDA5A-E6A9-4838-97DD-45B8941CB11A},Active,,89.6810829277597
553,TR691,2021,Paved,4,Public,Commuter,Commuter,,,{9418216F-98C2-4844-91BC-1968348F20D9},Active,,6.85742791637109
554,TR692,2021,Paved,4,Public,Commuter,Commuter,,,{C3F4EEDB-6D76-438F-88A0-5C1F60F13106},Active,,6.37049060589441
555,TR693,2021,Paved,5,Public,Commuter,Commuter,,,{153956B4-7D6F-41B2-8B5F-B3BA602415C1},Active,,14.3317758119756
556,TR694,2021,Paved,5,Public,Commuter,Commuter,,,{90E96D8A-155E-455E-9FAB-B563E824F4BE},Active,,11.6867769579224
557,TR695,2021,Paved,5,Public,Commuter,Commuter,,,{D716EBAB-55BB-44B3-A4BD-90515E398EDA},Active,,17.8016728489159
558,TR275,2002,Paved,2.5,Public,Commuter,Commuter,,,{7AF8D1E1-AE22-4447-958A-8C087EDA21C4},Active,,92.2521911380116
559,TR690,2021,Paved,4,Public,Commuter,Commuter,,,{E2B43BD5-A703-4B3F-9354-09C7AAB4D366},Active,,1211.43694001869
560,TR678,2021,Paved,3,Public,Commuter,Commuter,,,{A9BBC788-2C2F-4BCE-9AAC-F368AFB224BD},Active,,78.1583400567934
561,TR696,2021,Paved,3,Public,Commuter,Commuter,,,{F4C11E73-2442-42BA-BE65-34B0D0A8C8DA},Active,,5.48533844729598
562,TR669,2021,Paved,2.5,Public,Commuter,Commuter,,,{9936DA01-BBBC-4E16-A21B-383CAAB058A6},Active,,170.483636823578
563,TR673,2021,Paved,3,Public,Commuter,Commuter,,,{9C8ED841-AE3C-4ED2-A502-9C43F48D38E3},Active,,9.41897471875355
564,TR276,2002,Paved,2.5,Public,Commuter,Commuter,,,{2E6E16DE-3981-47D8-BFB7-E89FAAF3A742},Active,,1118.69752558041
565,TR405,2009,Paved,0,Public,Commuter,Commuter,,,{5000B869-1ABD-4BF3-9E52-0488F900F640},Active,,779.075590424771
566,TR637,2020,Paved,2.5,Public,Commuter,Commuter,,,{73BE6D8B-DB54-482F-9D36-41ACF7EE4C57},Active,,250.710999306348
567,TR449,,Concrete,2.5,Public,Recreational,Recreational,,,{06728454-5B62-4AF1-BA2A-017713ED58A6},Active,,450.642442976044
568,TR450,,Concrete,2.5,Public,Recreational,Recreational,,,{C6DE68CF-10DE-47C3-88E5-E51241579820},Active,,154.360983966415
569,TR671,2021,Paved,4,Public,Commuter,Commuter,,,{F1BFE8A6-0A86-4849-81DC-633800BB0380},Active,,236.219234375839
570,TR509,2013,Paved,2.5,Public,Recreational,Recreational,,,{7FFC248B-5A8D-46B3-89F6-BB2BFB7754C3},Active,,972.900729391351
571,TR664,2021,Paved,3,Public,Commuter,Commuter,,,{97EF72A1-694F-440B-9139-D16B493FA3F2},Active,,441.308496259213
572,TR697,2021,Paved,2.5,Public,Commuter,Commuter,,,{C8E8626B-13FB-492B-ADD7-A37788351B20},Active,,54.2574916302275
573,TR698,2021,Gravel,1.2,Public,Recreational,Recreational,,,{BD89DCF3-FF75-4B88-9167-F4E7209B5E90},Active,,92.0982726601289
574,TR699,2021,Gravel,1.2,Public,Recreational,Recreational,,,{5129536B-DCCA-4CC5-9AFB-584026E1C5EE},Active,,16.6431145814204
575,TR596,2019,Organic,0.5,Public,Recreational,Recreational,Rundle Downhill Option,,{E082D59D-B1AE-492A-A75B-7C67654E9970},Active,,252.857517417432
576,TR597,2019,Gravel,2.5,Public,Commuter,Recreational,Legacy Trail Extension,,{21369EDB-E515-4B88-81B6-62B8C7693951},Active,,799.093980703558
577,TR702,2021,Paved,2.5,Public,Commuter,Commuter,,,{D59DC9D8-ABB8-41E8-8666-0D84037CE97F},Active,,346.470891013309
578,TR703,2021,Paved,2,Public,Commuter,Commuter,,,{332FEF7D-5024-43C4-BF84-D025EE151327},Active,,29.6369227219664
579,TR704,2021,Paved,3,Public,Commuter,Commuter,,,{3997D666-172F-49ED-9CEF-CEEEC90DE89A},Active,,7.36008342663559
580,TR705,2021,Paved,3,Private,Commuter,Commuter,,,{1A8B4A82-E034-48A6-B77A-1963B8CA6E72},Active,,124.839988275836
581,TR706,2021,Paved,3,Public,Commuter,Commuter,,,{7D10A128-EA1B-455C-8325-359DBFD1FF1B},Active,,23.5190865343715
582,TR707,2021,Paved,3,Public,Commuter,Commuter,,,{9AB80C40-759A-418E-8A6B-FD9270090541},Active,,15.2662419700374
583,TR708,2021,Paved,3,Public,Comuter,Commuter,,,{CE55C216-5BE7-45AC-87E5-B0C61BA8A033},Active,,7.53407901697516
584,TR700,2021,Paved,2.5,Public,Commuter,Commuter,,,{791E7FF8-BA12-429F-A67F-819ADFCEBC2F},Active,,91.4953682882688
585,TR701,2021,Paved,2.5,Public,Commuter,Commuter,,,{38EB773F-6CDB-4AE0-8C14-3FC021998B48},Active,,19.0157894313519
586,TR709,2021,Paved,2.5,Public,Recretational,Recretational,,,{365C6348-A1CE-4FAF-9DD2-2B0BAC27CCAC},Active,,36.5120931162723
587,TR710,2021,Paved,3,Public,Commuter,Commuter,,,{26E3C602-DF1C-40A9-91E8-50A8168CBC32},Active,,12.89374876923
588,TR026,2004,Gravel,1.5,Public,Commuter,Commuter,,,{ADD0C24D-436C-4843-B7C6-60CC4252A182},Active,,51.3150150260982
589,TR711,2018,Gravel,2.5,Provincial,Commuter,Recreational,Legacy Trail Extension,,{B4743794-F794-412A-AB9E-56B7E4B2B957},Active,,1296.79598399357
590,TR712,2021,Paved,3,Public,Commuter,Commuter,,,{7837715A-CC16-4A3A-AF51-144704FBF2FC},Active,,59.1796604747958
591,TR713,2021,Paved,4,Public,Commuter,Commuter,,,{1CC3F4C5-BAC2-46A5-9615-8C50668241A1},Active,,8.08490875766607
592,TR714,2021,Paved,3,Public,Commuter,Commuter,,,{93D305A6-6492-4BBA-AAE6-B1BAFF4D79AB},Active,,27.5150785543576
593,TR715,2021,Paved,1.75,Public,Commuter,Commuter,,,{541E12D0-D993-436B-98C6-E6E3966261FA},Active,,25.0070991361846
594,TR716,2021,Paved,2,Public,Commuter,Commuter,,,{13542D7C-B328-4CE3-A375-4CDC0D76D95E},Active,,9.37379056505905
595,TR717,2021,Paved,3,Public,Commuter,Commuter,,,{660D0A4E-9233-419A-8598-E04C84656105},Active,,195.736635692487
596,TR718,2021,Paved,3,Public,Commuter,Commuter,,,{B56F6BB1-880D-46F5-8437-180590BC461D},Active,,145.632623709262
597,TR719,2021,Paved,3,Public,Commuter,Commuter,,,{513AB158-9982-4923-B430-1E4AC14A370D},Active,,24.4185150333304
598,TR720,2021,Paved,3,Public,Commuter,Commuter,,,{03B3047B-498C-482D-8F55-ADB0A159043A},Active,,23.4886835841029
599,TR721,2021,Paved,3,Public,Commuter,Commuter,,,{3E1959C3-B431-4B72-BE46-3B36A9234DD5},Active,,6.17139653501008
600,TR722,2021,Paved,3,Public,Commuter,Commuter,,,{FAF08E7C-DAA1-49E8-85D1-C4FD46B9442D},Active,,11.7636500691449
601,TR723,2021,Paved,3,Public,Commuter,Commuter,,,{04276391-E2B2-45CF-9E89-3B1A9935F15B},Active,,6.15824298413723
602,TR724,2019,Paved,2,Public,Commuter,Recreation,,,{1458185F-298F-499B-95B7-8C4CCFDF8EB4},Active,,299.703743037194
603,TR725,2017,Paved,2.5,Public,Commuter,Commuter,,,{520734F9-169B-467E-B414-BE2155FAE57C},Active,,138.663199173799
604,TR726,2019,Gravel,2,Public,Commuter,Recreation,,,{3EC4FE3F-2863-4144-9F26-10F301E2DAD2},Active,,623.819600988791
605,TR727,2022,Concrete,2,Public,Commuter,Commuter,,,{A03288ED-14C5-418C-872B-BF204CA6622E},Active,,105.181646480568
606,TR728,2022,Gravel,2.5,Public,Commuter,Recreation,,,{D76DF1B4-C10B-4FAA-B704-6148FE1FC6CA},Active,,16.4517798852148
607,TR729,2022,Gravel,2.5,Public,Commuter,Recreation,,,{6104C2E7-E202-483C-BAEA-506F2B1D63E1},Active,,7.65621451064651
608,TR730,2022,Paved,3,Public,Commuter,Recreation,,,{D8AC291D-9BC7-4F9C-A4DE-CD7B15488074},Active,,32.5448819263055
609,TR731,2021,Paved,3,Public,Commuter,Commuter,,,{8C718D17-0DAD-44DA-A6CF-39392943BDEF},Active,,46.7128695500545
610,TR732,2021,Paved,3,Public,Commuter,Commuter,,,{CE08EFF0-3C91-4558-8BDA-6D1AF9D405CE},Active,,122.217491601715
611,TR733,2021,Paved,1.5,Public,Commuter,Recreation,,,{CDF6ECB9-C770-4710-89C1-BF0E7698874E},Active,,163.284675773645
612,TR734,2022,Gravel,1.5,Public,Recreational,Recreational,,,{E8BF712A-75AD-474C-8470-8863C0D0BC0F},Active,,131.990471951783
613,TR735,2022,Paved,2.5,Public,Commuter,Commuter,,,{9991B6B0-63B0-4D26-81FC-CF8CCAAD108A},Active,,17.258310427287
614,TR736,2023,Asphalt,2.5,Public,Commuter,Recreation,,,{145D10C7-395A-4061-8C75-E680EF52854D},Active,,312.20829118655
