FID,ASSETID,INST_YR,MATERIAL,WIDTH,OWNERSHIP,CLASS1,CLASS2,NAME1,NAME2,GlobalID,LIFESTATUS,Shape_len,Shape__Length
284,TR452,2006,Gravel,1.5,Public,Recreational,Recreational,,,{B5BF1D90-020D-4087-965C-8B49C86E7B56},Active,,170.673397243258
285,TR035,2000,Gravel,1.5,Public,Recreational,Recreational,,,{D3DC9BBF-50A2-4AC2-9A27-11F9B86EE95C},Active,,768.797218493362
286,TR330,2000,Gravel,,Public,Recreational,Shortcut,,,{297EA782-3EE9-4FDC-BAB4-9CDD024BA906},Active,,76.3688976824073
287,TR032,2000,Gravel,1.5,Public,Recreational,Recreational,,,{A5F0A8EE-C553-426D-B283-0BE3B0CBD9B5},Active,,170.201939171037
288,TR421,2000,Gravel,1.5,Public,Recreational,Recreational,,,{DD2B5089-0212-4C4B-BE74-4D639A6F87F0},Active,,115.7903999489
289,TR027,2004,Gravel,1.5,Public,Recreational,Recreational,,,{3C4CF1EA-8BC1-4E49-B4E9-04CF4EB2F402},Active,,187.191069269275
290,TR028,2000,Gravel,1.5,Public,Commuter,Commuter,Trans Canada Trail,,{7DE5A984-2708-4340-A450-5DDD96CD1771},Active,,176.229833078383
291,TR319,2004,Gravel,1.5,Public,Recreational,Recreational,Trans Canada Trail,,{71A4158C-35AF-4D4C-9A49-6F5D0CE7344D},Active,,37.0540128719704
292,TR105,2002,Gravel,1.5,Public,Recreational,Recreational,,,{67B181BB-8213-4AEE-A462-33359D277D93},Active,,114.536204409109
293,TR110,2002,Gravel,1.5,Public,Recreational,Recreational,,,{19080258-C0B0-4B1A-B25C-291D8CDB7FFC},Active,,83.707798640141
294,TR496,2002,Gravel,1.5,Public,Recreational,Recreational,,,{C02E9AAE-673B-4C4E-84FF-3866AE16F491},Active,,201.478518629735
295,TR199,2002,Gravel,1.5,Public,Recreational,Recreational,,,{A5AECEE6-FC71-408B-A352-5C5EFA8F15CB},Active,,969.448739562333
296,TR429,2002,Gravel,1.5,Public,Recreational,Recreational,,,{1403A38D-29CB-41D0-B484-FF2C380B9FB4},Active,,281.840119257365
297,TR423,2002,Gravel,1.5,Public,Recreational,Recreational,,,{07FA2424-3292-4311-BD94-E9AD97A9EAD5},Active,,103.72378628438
298,TR082,2002,Gravel,1.5,Public,Recreational,Recreational,,,{596EDB1B-1BFE-4B45-8D78-756E5E3F421F},Active,,92.9698109621369
299,TR499,2012,Paved,1.5,Public,Recreational,Recreational,,,{283B1946-5E35-4767-84E5-2384A8377B5E},Active,,67.8727168168217
300,TR501,2012,Paved,2.5,Public,Recreational,Recreational,,,{94D0CA1A-A34C-45C7-B5AC-52E6E40B0162},Active,,177.269769503908
301,TR502,2012,Paved,2.5,Public,Recreational,Recreational,,,{766CEB41-B5BD-4AB4-AA0E-C284CB7C6104},Active,,67.3747851894085
302,TR189,2002,Gravel,1.5,Public,Recreational,Recreational,,,{9DCF34A3-DA39-4806-8C62-36405E365C40},Active,,254.959191892726
303,TR313,1995,Gravel,1.5,Public,Recreational,Recreational,,,{9E09E10E-6567-4F54-997B-632EA9DB24E8},Active,,59.7792863512
304,TR152,1995,Gravel,1.5,Public,Recreational,Recreational,,,{1BE99BB0-250F-4E75-BF40-0F1CBD5032B5},Active,,147.882888338721
305,TR079,2002,Gravel,1.5,Public,Recreational,Recreational,,,{AE803D79-D33B-4461-B0C9-8B60CCA1B7F8},Active,,429.439563352995
306,TR522,2014,Paved,2.5,Public,Recreational,Recreational,Trans Canada Trail,,{B02A409F-78B8-4956-B20B-D43F37BCA67F},Active,,477.951146306844
307,TR150,2002,Gravel,1.5,Public,Recreational,Recreational,,,{9A21B875-30BE-4B8A-B210-57D213F2AF7C},Active,,534.555865752799
308,TR441,2002,Gravel,1.5,Public,Recreational,Shortcut,,,{9DF58CC7-108C-456D-9FB2-FC6AB35A422F},Active,,61.6224409831749
309,TR201,2002,Gravel,1.5,Public,Recreational,Recreational,,,{447B339E-3AE1-47CA-8BDA-05FAF1A6D7A5},Active,,207.736600221801
310,TR158,2002,Gravel,1.5,Public,Recreational,Recreational,,,{D2FFDDCD-F238-4C70-993D-2148297A40AA},Active,,106.529005109323
311,TR151,2002,Gravel,1.5,Public,Recreational,Recreational,,,{0553FD69-2013-443D-924D-AC977D22895F},Active,,96.22358749432
312,TR148,2002,Gravel,1.5,Public,Recreational,Recreational,,,{FE7225F5-FB12-4011-B569-90BDD3902EDB},Active,,79.0018117721326
313,TR080,2002,Gravel,1.5,Public,Recreational,Recreational,,,{7E7A0584-31C1-4C4E-9406-212355799516},Active,,178.591855472376
314,TR200,2002,Gravel,1.5,Public,Recreational,Recreational,,,{546DB008-2568-4812-8E40-F2005D79DCAC},Active,,113.91579154658
315,TR298,1992,Organic,,Public,Recreational,Recreational,,,{5E2584B5-B819-4F45-A149-6E59BCE3ED9E},Active,,290.040649234968
