X,Y,FID,UnitNumber,AddressNum,StreetName,FullCivicA
-12839092.5419,6636709.452,1,,111B,SETTLER WAY,111B SETTLER WAY
-12837569.7587,6631419.7144,2,107,100B,DYRGAS LANE,107-100B DYRGAS LANE
-12838291.5812,6636875.3403,3,126,901,BENCHLANDS TRAIL,126-901 BENCHLANDS TRAIL
-12839722.7384,6636167.2144,4,,173,KANANASKIS WAY,173 KANANASKIS WAY
-12840713.2,6636273.7805,5,,20,CREEKSIDE MEWS,20 CREEKSIDE MEWS
-12841539.8337,6633438.7198,6,389,91B,THREE SISTERS DRIVE,389-91B THREE SISTERS DRIVE
-12839802.5784,6636139.9606,7,115,187,KANANASKIS WAY,115-187 KANANASKIS WAY
-12837810.3483,6636432.6629,8,,14,RIDGE ROAD,14 RIDGE ROAD
-12840040.0725,6636522.9735,9,120,115,KANANASKIS WAY,120-115 KANANASKIS WAY
-12839770.7394,6636508.1496,10,422,160,KANANASKIS WAY,422-160 KANANASKIS WAY
-12838127.3268,6631571.0196,11,,208A,MISKOW CLOSE,208A MISKOW CLOSE
-12839802.5784,6636139.9606,12,204,187,KANANASKIS WAY,204-187 KANANASKIS WAY
-12841512.963,6637269.2417,13,203,621,10TH STREET,203-621 10TH STREET
-12838376.7764,6631592.1123,14,,232,MISKOW CLOSE,232 MISKOW CLOSE
-12839995.3349,6636550.4704,15,101,121,KANANASKIS WAY,101-121 KANANASKIS WAY
-12841443.8785,6637679.6799,16,110,1160,RAILWAY AVENUE,110-1160 RAILWAY AVENUE
-12838925.3006,6637415.5446,17,2,241,BENCHLANDS TERRACE,2-241 BENCHLANDS TERRACE
-12841988.7933,6636627.7998,18,3,810,5TH STREET,3-810 5TH STREET
-12842742.1176,6638623.3418,19,,203,LARCH PLACE,203 LARCH PLACE
-12839436.9057,6636705.9718,20,105,1080C,COUGAR CREEK DRIVE,105-1080C COUGAR CREEK DRIVE
-12842082.9846,6637135.4386,21,115,826,8TH (Main) STREET,115-826 8TH (Main) STREET
-12838206.1615,6632253.6869,22,,155,CROSSBOW PLACE,155 CROSSBOW PLACE
-12840908.5937,6638715.2727,23,204,300,PALLISER LANE,204-300 PALLISER LANE
-12838079.3102,6635959.512,24,,307,CANYON CLOSE,307 CANYON CLOSE
-12841578.997,6636944.1534,25,,632A,7TH STREET,632A 7TH STREET
-12841763.0098,6637041.8332,26,,717,8TH (Main) STREET,717 8TH (Main) STREET
-12841542.2359,6638142.2991,27,,1554,RAILWAY AVENUE,1554 RAILWAY AVENUE
-12837863.9072,6636978.8033,28,,33,EAGLE LANDING,33 EAGLE LANDING
-12841490.7724,6634365.8015,29,,17,VAN HORNE,17 VAN HORNE
-12838389.7379,6635461.8575,30,,99,MORAINE ROAD,99 MORAINE ROAD
-12842245.0081,6635115.8358,31,201,200,PROSPECT HEIGHTS,201-200 PROSPECT HEIGHTS
-12839837.6129,6636014.8625,32,304,191,KANANASKIS WAY,304-191 KANANASKIS WAY
-12840453.3959,6637468.3138,33,417,901,MOUNTAIN STREET,417-901 MOUNTAIN STREET
-12842085.5443,6636533.0808,34,1,825,5TH STREET,1-825 5TH STREET
-12838714.6218,6638907.2527,35,,501,SILVERTIP POINTE,501 SILVERTIP POINTE
-12839769.475,6636416.4521,36,150,160,KANANASKIS WAY,150-160 KANANASKIS WAY
-12837824.8716,6636771.4771,37,,14,CANYON ROAD,14 CANYON ROAD
-12839769.475,6636416.4521,38,,160,KANANASKIS WAY,160 KANANASKIS WAY
-12837546.9943,6631083.7839,39,202,75,DYRGAS GATE,202-75 DYRGAS GATE
-12841958.3261,6634132.596,40,27,127,CAREY,27-127 CAREY
-12839695.3902,6635759.4608,41,421,30,LINCOLN PARK,421-30 LINCOLN PARK
-12841891.6182,6638912.5523,42,75,1718,BOW VALLEY TRAIL,75-1718 BOW VALLEY TRAIL
-12839586.8017,6636126.6191,43,,176,KANANASKIS WAY,176 KANANASKIS WAY
-12839581.2077,6635974.3493,44,506,180,KANANASKIS WAY,506-180 KANANASKIS WAY
-12840653.4478,6636193.2723,45,411,905,SPRING CREEK DRIVE,411-905 SPRING CREEK DRIVE
-12838509.8814,6637056.4478,46,,137,EAGLE TERRACE ROAD,137 EAGLE TERRACE ROAD
-12840580.2806,6637448.0058,47,,1151,SIDNEY STREET,1151 SIDNEY STREET
-12840829.4162,6638741.9531,48,313,300,PALLISER LANE,313-300 PALLISER LANE
-12841465.2256,6636361.7145,49,2,613,4TH STREET,2-613 4TH STREET
-12837546.9943,6631083.7839,50,213,75,DYRGAS GATE,213-75 DYRGAS GATE
-12841992.4945,6638604.9457,51,101B,1,INDUSTRIAL PLACE,101B-1 INDUSTRIAL PLACE
-12840580.2806,6637448.0058,52,,1151,SIDNEY STREET,1151 SIDNEY STREET
-12841946.0539,6636711.6863,53,7,801,6TH STREET,7-801 6TH STREET
-12842525.2248,6637644.1246,54,,937,13TH STREET,937 13TH STREET
-12843269.6637,6634028.8961,55, ,1076B,LAWRENCE GRASSI RIDGE,1076B LAWRENCE GRASSI RIDGE
-12840538.4667,6636215.1736,56,313A,1012,SPRING CREEK DRIVE,313A-1012 SPRING CREEK DRIVE
-12838868.098,6639209.5549,57,2,125,STONECREEK ROAD,2-125 STONECREEK ROAD
-12839905.7663,6639506.5077,58, ,38,SILVERTIP VILLAGE LANE,38 SILVERTIP VILLAGE LANE
-12842065.5077,6634580.4606,59,,127,PADMORE,127 PADMORE
-12839770.7394,6636508.1496,60,,160,KANANASKIS WAY,160 KANANASKIS WAY
-12842354.5213,6637334.7023,61,,29,MOUNT PEECHEE PLACE,29 MOUNT PEECHEE PLACE
-12842530.8638,6636046.9201,62,3,107,RUNDLE DRIVE,3-107 RUNDLE DRIVE
-12841684.2605,6637422.1923,63,,705B,MALLARD ALLEY,705B MALLARD ALLEY
-12836286.7168,6630074.4541,64,501,102,STEWART CREEK RISE,501-102 STEWART CREEK RISE
-12838247.6225,6636783.6796,65,203,701,BENCHLANDS TRAIL,203-701 BENCHLANDS TRAIL
-12841441.0006,6637590.4714,67,,1140,RAILWAY AVENUE,1140 RAILWAY AVENUE
-12837734.626,6630854.646,68,,124,RIVA COURT,124 RIVA COURT
-12838022.736,6632341.1282,69,,170,CROSSBOW PLACE,170 CROSSBOW PLACE
-12839722.7384,6636167.2144,70,,173,KANANASKIS WAY,173 KANANASKIS WAY
-12840829.4162,6638741.9531,71,221,300,PALLISER LANE,221-300 PALLISER LANE
-12838376.2327,6635606.8012,72,,37,RIVERSTONE ROAD,37 RIVERSTONE ROAD
-12839639.0109,6637163.0049,73,,218,COUGAR POINT ROAD,218 COUGAR POINT ROAD
-12841622.8821,6638154.5102,74,,1510,RAILWAY AVENUE,1510 RAILWAY AVENUE
-12840230.1483,6639471.7076,75,,3,JUNIPER RIDGE,3 JUNIPER RIDGE
-12839078.5971,6639187.7368,76,,145,SILVERTIP RIDGE,145 SILVERTIP RIDGE
-12843172.616,6638465.3081,77,,1225,17TH STREET,1225 17TH STREET
-12837578.8893,6635557.7394,78,220,115,ELK RUN BOULEVARD,220-115 ELK RUN BOULEVARD
-12835489.0845,6629637.9048,79,,224B,STEWART CREEK RISE,224B STEWART CREEK RISE
-12837776.2684,6630510.3993,80,11,101,ARMSTRONG PLACE,11-101 ARMSTRONG PLACE
-12838150.6985,6635677.7247,81,,17,MORAINE ROAD,17 MORAINE ROAD
-12838494.8164,6636651.7031,82,8,1000,COUGAR CREEK DRIVE,8-1000 COUGAR CREEK DRIVE
-12841364.251,6637565.6699,83,,1120,RAILWAY AVENUE,1120 RAILWAY AVENUE
-12842516.4414,6637458.4376,84,,1020,9TH AVENUE,1020 9TH AVENUE
-12840570.4553,6636333.9421,85,,808,SPRING CREEK DRIVE,808 SPRING CREEK DRIVE
-12838413.7166,6638427.6303,86,,808,SILVERTIP HEIGHTS,808 SILVERTIP HEIGHTS
-12838120.0021,6630750.5622,87,,126B,HUBMAN LANDING,126B HUBMAN LANDING
-12837840.3709,6635036.547,88,8,104A,BOULDER CRESCENT,8-104A BOULDER CRESCENT
-12842579.7906,6638130.1631,89,,1009,15TH STREET,1009 15TH STREET
-12841942.359,6636105.3269,90,,802B,2A STREET,802B 2A STREET
-12838277.5154,6638470.3658,91,,604,SILVERTIP ROAD,604 SILVERTIP ROAD
-12842748.8559,6633758.4794,92,,942A,LAWRENCE GRASSI RIDGE,942A LAWRENCE GRASSI RIDGE
-12835865.7897,6629722.9892,93,,1316B,THREE SISTERS PARKWAY,1316B THREE SISTERS PARKWAY
-12840580.2806,6637448.0058,94,,1151,SIDNEY STREET,1151 SIDNEY STREET
-12837546.9943,6631083.7839,95,212,75,DYRGAS GATE,212-75 DYRGAS GATE
-12841899.9591,6633290.4871,96,101,803,WILSON WAY,101-803 WILSON WAY
-12838443.679,6636938.7524,97,,113,EAGLE TERRACE ROAD,113 EAGLE TERRACE ROAD
-12843047.5852,6636220.4739,98,,265,THREE SISTERS DRIVE,265 THREE SISTERS DRIVE
-12839102.7887,6637261.0719,99,,149,BENCHLANDS TERRACE,149 BENCHLANDS TERRACE
-12839722.7384,6636167.2144,100,123,173,KANANASKIS WAY,123-173 KANANASKIS WAY
-12838755.7594,6637593.6866,101,,207,EAGLE POINT,207 EAGLE POINT
-12837578.8893,6635557.7394,102,313,115,ELK RUN BOULEVARD,313-115 ELK RUN BOULEVARD
-12839192.8552,6636737.4254,103,,104,SETTLER WAY,104 SETTLER WAY
-12839769.475,6636416.4521,104,,160,KANANASKIS WAY,160 KANANASKIS WAY
-12840751.3842,6636127.2604,105,,34,CREEKSIDE MEWS,34 CREEKSIDE MEWS
-12839988.1236,6636305.0874,106,414,101,MONTANE ROAD,414-101 MONTANE ROAD
-12842118.977,6637354.6378,107,305,834,10TH STREET,305-834 10TH STREET
-12839899.5413,6636356.5398,108,204,107,MONTANE ROAD,204-107 MONTANE ROAD
-12841942.156,6638632.6721,109,211B,1,INDUSTRIAL PLACE,211B-1 INDUSTRIAL PLACE
-12839689.8458,6636258.0148,110,100,170,KANANASKIS WAY,100-170 KANANASKIS WAY
-12841891.6182,6638912.5523,111,91,1718,BOW VALLEY TRAIL,91-1718 BOW VALLEY TRAIL
-12837992.7249,6632228.6058,112,213,150,CROSSBOW PLACE,213-150 CROSSBOW PLACE
-12840405.7692,6638011.3067,113,102,1451C,PALLISER TRAIL,102-1451C PALLISER TRAIL
-12841937.8624,6636638.352,114,4,802,5TH STREET,4-802 5TH STREET
-12840774.9405,6636536.3888,115,313,379,SPRING CREEK DRIVE,313-379 SPRING CREEK DRIVE
-12843004.6751,6638374.0305,116,,1206,16TH STREET,1206 16TH STREET
-12838432.7789,6635843.2258,117,,17,GROTTO PLACE,17 GROTTO PLACE
-12836828.8213,6630265.9553,118,201,2100C,STEWART CREEK DRIVE,201-2100C STEWART CREEK DRIVE
-12838022.736,6632341.1282,119,,170,CROSSBOW PLACE,170 CROSSBOW PLACE
-12837931.7675,6631902.0573,120,,119B,CASALE PLACE,119B CASALE PLACE
-12835782.929,6629750.7093,121,303I,209,STEWART CREEK RISE,303I-209 STEWART CREEK RISE
-12836172.0909,6629627.8067,122,,429,STEWART CREEK CLOSE,429 STEWART CREEK CLOSE
-12838156.3693,6635433.7775,123,28,200,GLACIER DRIVE,28-200 GLACIER DRIVE
-12838655.1889,6636542.2884,124,,348,PIONEER ROAD,348 PIONEER ROAD
-12839872.4263,6636458.8104,125,18,108,MONTANE ROAD,18-108 MONTANE ROAD
-12838219.3046,6635467.2763,126,38,200,GLACIER DRIVE,38-200 GLACIER DRIVE
-12838096.3022,6636767.5805,127,,709,BENCHLANDS TRAIL,709 BENCHLANDS TRAIL
-12840701.8755,6638630.6405,128,304,200B,PALLISER LANE,304-200B PALLISER LANE
-12839945.3388,6636755.1332,129,317,120,KANANASKIS WAY,317-120 KANANASKIS WAY
-12837976.5918,6636167.4676,130,,276,LADY MACDONALD DRIVE,276 LADY MACDONALD DRIVE
-12842120.0445,6637271.3172,131,,1002,8TH AVENUE,1002 8TH AVENUE
-12839837.6129,6636014.8625,132,106,191,KANANASKIS WAY,106-191 KANANASKIS WAY
-12835782.929,6629750.7093,133,202I,209,STEWART CREEK RISE,202I-209 STEWART CREEK RISE
-12840653.2484,6636330.009,134,210,707,SPRING CREEK DRIVE,210-707 SPRING CREEK DRIVE
-12838533.0482,6636593.4541,135,4,1000,COUGAR CREEK DRIVE,4-1000 COUGAR CREEK DRIVE
-12839816.6247,6636329.2337,136,110,109,MONTANE ROAD,110-109 MONTANE ROAD
-12840497.3467,6638180.9314,137,217,1451A,PALLISER TRAIL,217-1451A PALLISER TRAIL
-12838576.4442,6636292.6336,138,,162,COYOTE WAY,162 COYOTE WAY
-12839695.3902,6635759.4608,139,312,30,LINCOLN PARK,312-30 LINCOLN PARK
-12840405.7692,6638011.3067,140,,1451C,PALLISER TRAIL,1451C PALLISER TRAIL
-12842012.8476,6636876.1359,141,3,813,7TH STREET,3-813 7TH STREET
-12838022.736,6632341.1282,142,,170,CROSSBOW PLACE,170 CROSSBOW PLACE
-12841986.0916,6639055.5061,143,115,1720,BOW VALLEY TRAIL,115-1720 BOW VALLEY TRAIL
-12839751.9492,6636055.4832,144,22,187,KANANASKIS WAY,22-187 KANANASKIS WAY
-12842222.4824,6636772.3865,145,,602,8TH AVENUE,602 8TH AVENUE
-12839869.1705,6636584.2168,146,137,140,KANANASKIS WAY,137-140 KANANASKIS WAY
-12840481.0668,6636012.3728,147,,1408,SPRING CREEK GATE,1408 SPRING CREEK GATE
-12843077.0083,6635582.4998,148,908,1010,OLYMPIC DRIVE,908-1010 OLYMPIC DRIVE
-12835898.9153,6629517.2786,149,,477,STEWART CREEK CLOSE,477 STEWART CREEK CLOSE
-12842275.2813,6635060.438,150,128,200,PROSPECT HEIGHTS,128-200 PROSPECT HEIGHTS
-12836740.8787,6630232.7642,151,201,2100E,STEWART CREEK DRIVE,201-2100E STEWART CREEK DRIVE
-12840497.3467,6638180.9314,152,209,1451A,PALLISER TRAIL,209-1451A PALLISER TRAIL
-12842585.0582,6636440.0336,153,24,164,RUNDLE DRIVE,24-164 RUNDLE DRIVE
-12841700.3132,6637726.4865,154,17,1225,RAILWAY AVENUE,17-1225 RAILWAY AVENUE
-12840580.2806,6637448.0058,155,,1151,SIDNEY STREET,1151 SIDNEY STREET
-12840497.3467,6638180.9314,156,208,1451A,PALLISER TRAIL,208-1451A PALLISER TRAIL
-12836648.6855,6629912.905,157,219,106,STEWART CREEK LANDING,219-106 STEWART CREEK LANDING
-12842957.5329,6633676.3104,158,,969,LAWRENCE GRASSI RIDGE,969 LAWRENCE GRASSI RIDGE
-12840570.4553,6636333.9421,159,312,808,SPRING CREEK DRIVE,312-808 SPRING CREEK DRIVE
-12839945.3388,6636755.1332,160,510,120,KANANASKIS WAY,510-120 KANANASKIS WAY
-12839769.475,6636416.4521,161,452,160,KANANASKIS WAY,452-160 KANANASKIS WAY
-12843096.6805,6635920.1221,162,22,1022,RUNDLEVIEW DRIVE,22-1022 RUNDLEVIEW DRIVE
-12841122.9329,6636710.0398,163,,175        ,SPRING CREEK DRIVE       ,175 SPRING CREEK DRIVE
-12841575.2498,6634393.035,164,,33,PROSPECT HEIGHTS,33 PROSPECT HEIGHTS
-12842852.057,6635970.5128,165,,243B,THREE SISTERS DRIVE,243B THREE SISTERS DRIVE
-12839307.9605,6637451.2669,166,,117,BENCHLANDS TERRACE,117 BENCHLANDS TERRACE
-12839241.4377,6637494.2192,167,,137,BENCHLANDS TERRACE,137 BENCHLANDS TERRACE
-12841240.0153,6636863.9927,168,,107,SPRING CREEK DRIVE,107 SPRING CREEK DRIVE
-12839899.5413,6636356.5398,169,218,107,MONTANE ROAD,218-107 MONTANE ROAD
-12839933.6367,6636482.32,170,11,108,MONTANE ROAD,11-108 MONTANE ROAD
-12839646.732,6635924.3203,171,402,186,KANANASKIS WAY,402-186 KANANASKIS WAY
-12841974.8677,6636969.9982,172,214,810,7TH STREET,214-810 7TH STREET
-12841116.9154,6637075.2836,173,203,743,RAILWAY AVENUE,203-743 RAILWAY AVENUE
-12843051.9343,6638561.7323,174,101,1733,11TH AVENUE,101-1733 11TH AVENUE
-12843384.5729,6636650.9517,175,9,100,GRASSI PLACE,9-100 GRASSI PLACE
-12838144.6174,6631653.3886,176,,213B,MISKOW CLOSE,213B MISKOW CLOSE
-12841537.8798,6636288.1214,177,4,626,3RD STREET,4-626 3RD STREET
-12840040.0725,6636522.9735,178,104,115,KANANASKIS WAY,104-115 KANANASKIS WAY
-12841517.5874,6638031.0256,179,,1454,RAILWAY AVENUE,1454 RAILWAY AVENUE
-12838442.6919,6637248.966,180,,1001,BENCHLANDS TRAIL,1001 BENCHLANDS TRAIL
-12840127.9431,6636533.1474,181,105,105,KANANASKIS WAY,105-105 KANANASKIS WAY
-12840453.3959,6637468.3138,182,,901,MOUNTAIN STREET,901 MOUNTAIN STREET
-12841941.8267,6636363.8715,183,2,801,4TH STREET,2-801 4TH STREET
-12839802.5784,6636139.9606,184,211,187,KANANASKIS WAY,211-187 KANANASKIS WAY
-12839803.9478,6638635.7292,185,,2,BLUE GROUSE RIDGE,2 BLUE GROUSE RIDGE
-12842844.3389,6636077.7766,186,,248,THREE SISTERS DRIVE,248 THREE SISTERS DRIVE
-12837372.5385,6630246.8895,187,804,109,ARMSTRONG PLACE,804-109 ARMSTRONG PLACE
-12840829.4162,6638741.9531,188,300,300,PALLISER LANE,300-300 PALLISER LANE
-12842833.5653,6638032.85,189,,1110,14TH STREET,1110 14TH STREET
-12841706.5698,6636361.7616,190,,705,4TH STREET,705 4TH STREET
-12839945.3388,6636755.1332,191,504,120,KANANASKIS WAY,504-120 KANANASKIS WAY
-12840578.5982,6635994.3398,192,308,1315,SPRING CREEK GATE,308-1315 SPRING CREEK GATE
-12837441.1903,6630824.7603,193,603,70,DYRGAS GATE,603-70 DYRGAS GATE
-12839769.475,6636416.4521,194,135,160,KANANASKIS WAY,135-160 KANANASKIS WAY
-12837864.7343,6630999.7327,195,,221,RIVA HEIGHTS,221 RIVA HEIGHTS
-12839770.7394,6636508.1496,196,,160,KANANASKIS WAY,160 KANANASKIS WAY
-12842721.053,6637743.2909,197,,973A,13TH STREET,973A 13TH STREET
-12842802.5728,6637952.4921,198,,1105,14TH STREET,1105 14TH STREET
-12839837.6129,6636014.8625,199,308,191,KANANASKIS WAY,308-191 KANANASKIS WAY
-12837561.4904,6631330.3911,200,301,125B,DYRGAS LANE,301-125B DYRGAS LANE
-12843363.5878,6633869.2746,201,,1140,WILSON WAY,1140 WILSON WAY
-12837557.7665,6634789.9586,202,,101,ELK RUN BOULEVARD,101 ELK RUN BOULEVARD
-12838392.7293,6631140.1391,203,104,210,HUBMAN LANDING,104-210 HUBMAN LANDING
-12840774.9405,6636536.3888,204,204,379,SPRING CREEK DRIVE,204-379 SPRING CREEK DRIVE
-12838022.736,6632341.1282,205,,170,CROSSBOW PLACE,170 CROSSBOW PLACE
-12840538.4667,6636215.1736,206,311A,1012,SPRING CREEK DRIVE,311A-1012 SPRING CREEK DRIVE
-12841346.3382,6638363.6405,207,112,1602,2ND AVENUE,112-1602 2ND AVENUE
-12838219.3046,6635467.2763,208,47,200,GLACIER DRIVE,47-200 GLACIER DRIVE
-12842621.3102,6636051.0955,209,13,100,RUNDLE DRIVE,13-100 RUNDLE DRIVE
-12839945.3388,6636755.1332,210,124,120,KANANASKIS WAY,124-120 KANANASKIS WAY
-12840566.6848,6636459.3116,211,306,600,SPRING CREEK DRIVE,306-600 SPRING CREEK DRIVE
-12837992.7249,6632228.6058,212,,150,CROSSBOW PLACE,150 CROSSBOW PLACE
-12841510.7104,6634216.0885,213,,127,MORRIS,127 MORRIS
-12843587.724,6639418.0387,214,,801,LARCH PLACE,801 LARCH PLACE
-12842216.8868,6636512.8492,215, ,413,8TH AVENUE,413 8TH AVENUE
-12841225.9526,6638275.3921,216,3,1437,1ST AVENUE,3-1437 1ST AVENUE
-12836202.3105,6630010.5703,217,209,106,STEWART CREEK RISE,209-106 STEWART CREEK RISE
-12839722.7384,6636167.2144,218,212,173,KANANASKIS WAY,212-173 KANANASKIS WAY
-12840653.4478,6636193.2723,219,207,905,SPRING CREEK DRIVE,207-905 SPRING CREEK DRIVE
-12837397.1217,6634884.3919,220,204,106,BOW MEADOWS CRESCENT,204-106 BOW MEADOWS CRESCENT
-12838204.5295,6632351.4461,221,117,175,CROSSBOW PLACE,117-175 CROSSBOW PLACE
-12840570.4553,6636333.9421,222,PRKG,808,SPRING CREEK DRIVE,PRKG-808 SPRING CREEK DRIVE
-12836898.744,6629896.9791,223,103,3000E,STEWART CREEK DRIVE,103-3000E STEWART CREEK DRIVE
-12842187.3295,6634512.4144,224,,160,CAREY,160 CAREY
-12842945.1953,6635641.4596,225,,1013,OLYMPIC DRIVE,1013 OLYMPIC DRIVE
-12841970.1258,6633395.5128,226,,804,WILSON WAY,804 WILSON WAY
-12838929.8189,6636500.2067,227,,315,PIONEER ROAD,315 PIONEER ROAD
-12842666.6492,6633556.2684,228,,960,WILSON WAY,960 WILSON WAY
-12837205.1138,6635059.9199,229,,121,BOW MEADOWS CRESCENT,121 BOW MEADOWS CRESCENT
-12839945.3388,6636755.1332,230,226,120,KANANASKIS WAY,226-120 KANANASKIS WAY
-12840405.8939,6638157.5462,231,205,1451B,PALLISER TRAIL,205-1451B PALLISER TRAIL
-12840453.3959,6637468.3138,232,,901,MOUNTAIN STREET,901 MOUNTAIN STREET
-12839695.3902,6635759.4608,233,208,30,LINCOLN PARK,208-30 LINCOLN PARK
-12837629.8568,6630766.4088,234,,109,RIVA COURT,109 RIVA COURT
-12842578.9827,6636451.8226,235,23,164,RUNDLE DRIVE,23-164 RUNDLE DRIVE
-12841622.8821,6638154.5102,236,,1512A,RAILWAY AVENUE,1512A RAILWAY AVENUE
-12840580.2806,6637448.0058,237,,1151,SIDNEY STREET,1151 SIDNEY STREET
-12837589.2244,6636149.9972,238,,56,RIDGE ROAD,56 RIDGE ROAD
-12840764.3089,6635854.0697,239,,302,WILLOW POINTE,302 WILLOW POINTE
-12839646.732,6635924.3203,240,106,186,KANANASKIS WAY,106-186 KANANASKIS WAY
-12838022.736,6632341.1282,241,316,170,CROSSBOW PLACE,316-170 CROSSBOW PLACE
-12841539.8337,6633438.7198,242,290,91B,THREE SISTERS DRIVE,290-91B THREE SISTERS DRIVE
-12839081.2066,6639445.6306,243,,150,STONECREEK ROAD,150 STONECREEK ROAD
-12841986.0916,6639055.5061,244,117,1720,BOW VALLEY TRAIL,117-1720 BOW VALLEY TRAIL
-12838206.1615,6632253.6869,245,218,155,CROSSBOW PLACE,218-155 CROSSBOW PLACE
-12837738.52,6631060.5277,246,310,80,DYRGAS GATE,310-80 DYRGAS GATE
-12838100.6715,6637362.1977,247,,232,EAGLE TERRACE ROAD,232 EAGLE TERRACE ROAD
-12836832.3607,6630163.2265,248,,2100,STEWART CREEK DRIVE,2100 STEWART CREEK DRIVE
-12839945.3388,6636755.1332,249,411,120,KANANASKIS WAY,411-120 KANANASKIS WAY
-12839840.2142,6635710.3447,250,113A,306,BOW VALLEY TRAIL,113A-306 BOW VALLEY TRAIL
-12836571.8969,6629917.275,251,211,106,STEWART CREEK LANDING,211-106 STEWART CREEK LANDING
-12837366.5448,6634764.0503,252,112,105,BOW MEADOWS CRESCENT,112-105 BOW MEADOWS CRESCENT
-12838315.8279,6636442.4493,253,,138,COYOTE WAY,138 COYOTE WAY
-12840453.3959,6637468.3138,254,335,901,MOUNTAIN STREET,335-901 MOUNTAIN STREET
-12842157.9808,6636873.2415,255,,837,7TH STREET,837 7TH STREET
-12841866.1847,6636193.1329,256,,735,3RD STREET,735 3RD STREET
-12838204.5295,6632351.4461,257,113,175,CROSSBOW PLACE,113-175 CROSSBOW PLACE
-12838204.5295,6632351.4461,258,106,175,CROSSBOW PLACE,106-175 CROSSBOW PLACE
-12840497.3467,6638180.9314,259,102,1451A,PALLISER TRAIL,102-1451A PALLISER TRAIL
-12839695.3902,6635759.4608,260,334,30,LINCOLN PARK,334-30 LINCOLN PARK
-12841353.2455,6638469.3623,261,,228,17TH STREET,228 17TH STREET
-12839695.3902,6635759.4608,262,308,30,LINCOLN PARK,308-30 LINCOLN PARK
-12843014.625,6633698.7417,263,,981A,LAWRENCE GRASSI RIDGE,981A LAWRENCE GRASSI RIDGE
-12839199.3133,6637392.6761,264,,142,BENCHLANDS TERRACE,142 BENCHLANDS TERRACE
-12840538.4667,6636215.1736,265,401A,1012,SPRING CREEK DRIVE,401A-1012 SPRING CREEK DRIVE
-12837999.8838,6636531.003,266,,2,CANYON ROAD,2 CANYON ROAD
-12843147.9142,6638465.2871,267,,1221,17TH STREET,1221 17TH STREET
-12838206.1615,6632253.6869,268,,155,CROSSBOW PLACE,155 CROSSBOW PLACE
-12839246.8581,6636891.2639,269,1,10,BLACKROCK CRESCENT,1-10 BLACKROCK CRESCENT
-12841952.0522,6637270.6116,270,121,1000,7TH AVENUE,121-1000 7TH AVENUE
-12841364.251,6637565.6699,271,400,1120,RAILWAY AVENUE,400-1120 RAILWAY AVENUE
-12841339.122,6635947.1331,272,,538,1ST STREET,538 1ST STREET
-12837840.3709,6635036.547,273,9,104A,BOULDER CRESCENT,9-104A BOULDER CRESCENT
-12838238.0522,6635907.0556,274,,247,LADY MACDONALD DRIVE,247 LADY MACDONALD DRIVE
-12842093.5654,6633464.7579,275,,824,LAWRENCE GRASSI RIDGE,824 LAWRENCE GRASSI RIDGE
-12841582.3396,6637566.0272,276,7,1201       ,RAILWAY AVENUE           ,7-1201 RAILWAY AVENUE
-12843352.6824,6633777.5963,277,,1121,WILSON WAY,1121 WILSON WAY
-12838189.9107,6636131.5698,278,,307,LADY MACDONALD CRESCENT,307 LADY MACDONALD CRESCENT
-12842107.154,6633471.1839,279,,826,LAWRENCE GRASSI RIDGE,826 LAWRENCE GRASSI RIDGE
-12843189.7714,6636458.5713,280,,283C,THREE SISTERS DRIVE,283C THREE SISTERS DRIVE
-12841715.6909,6637363.0326,281,201,710,10TH STREET,201-710 10TH STREET
-12840010.6064,6636809.9341,282,301,521,OLD CANMORE ROAD,301-521 OLD CANMORE ROAD
-12841443.8785,6637679.6799,283,,1160,RAILWAY AVENUE,1160 RAILWAY AVENUE
-12841392.5877,6636021.9687,284,,601,2ND STREET,601 2ND STREET
-12840863.6078,6637415.864,285,133,1202,BOW VALLEY TRAIL,133-1202 BOW VALLEY TRAIL
-12838504.1941,6638595.2234,286,,712,SILVERTIP HEIGHTS,712 SILVERTIP HEIGHTS
-12839581.2077,6635974.3493,287,501,180,KANANASKIS WAY,501-180 KANANASKIS WAY
-12843325.977,6636386.7321,288,,203,GRASSI PLACE,203 GRASSI PLACE
-12841679.9028,6634015.2362,289,177,10,WALKER,177-10 WALKER
-12842547.8718,6637636.7739,290,,941,13TH STREET,941 13TH STREET
-12840774.9405,6636536.3888,291,355,379,SPRING CREEK DRIVE,355-379 SPRING CREEK DRIVE
-12836802.0953,6629838.2092,292,101,110,STEWART CREEK LANDING,101-110 STEWART CREEK LANDING
-12841346.3382,6638363.6405,293,128,1602,2ND AVENUE,128-1602 2ND AVENUE
-12841957.3528,6634664.9696,294,,128,MCNEILL,128 MCNEILL
-12840538.4667,6636215.1736,295,314A,1012,SPRING CREEK DRIVE,314A-1012 SPRING CREEK DRIVE
-12840662.6421,6638582.451,296,203,200A,PALLISER LANE,203-200A PALLISER LANE
-12840127.9431,6636533.1474,297,102,105,KANANASKIS WAY,102-105 KANANASKIS WAY
-12840570.4553,6636333.9421,298,315,808,SPRING CREEK DRIVE,315-808 SPRING CREEK DRIVE
-12843264.9825,6636102.6636,299,,1034,RUNDLEVIEW DRIVE,1034 RUNDLEVIEW DRIVE
