X,Y,FID,UnitNumber,AddressNum,StreetName,FullCivicA
-12841580.0833,6636531.9093,2131,,631,5TH STREET,631 5TH STREET
-12838413.3447,6631582.2954,2132,,236,MISKOW CLOSE,236 MISKOW CLOSE
-12842667.1006,6636469.4881,2133,11,164,RUNDLE DRIVE,11-164 RUNDLE DRIVE
-12838339.3013,6637468.6854,2134,,346B,EAGLE HEIGHTS,346B EAGLE HEIGHTS
-12845978.1199,6635216.2011,2135,,6,KEN RITCHIE WAY,6 KEN RITCHIE WAY
-12839581.2077,6635974.3493,2136,402,180,KANANASKIS WAY,402-180 KANANASKIS WAY
-12842010.5956,6638132.6885,2137,3,1530,7TH AVENUE,3-1530 7TH AVENUE
-12841026.9691,6637634.4945,2138,1A,1306,BOW VALLEY TRAIL,1A-1306 BOW VALLEY TRAIL
-12841679.8259,6636519.0141,2139,3,511,6TH AVENUE,3-511 6TH AVENUE
-12838247.6225,6636783.6796,2140,404,701,BENCHLANDS TRAIL,404-701 BENCHLANDS TRAIL
-12837675.8639,6631228.0085,2141,203,85,DYRGAS GATE,203-85 DYRGAS GATE
-12842338.8169,6634632.1415,2142,,181,CAREY,181 CAREY
-12841574.2,6636288.2194,2143,4,630,3RD STREET,4-630 3RD STREET
-12837558.1713,6631287.6069,2144,302,125F,DYRGAS LANE,302-125F DYRGAS LANE
-12839695.3902,6635759.4608,2145,321,30,LINCOLN PARK,321-30 LINCOLN PARK
-12839899.5413,6636356.5398,2146,220,107,MONTANE ROAD,220-107 MONTANE ROAD
-12838594.2613,6636382.0413,2147,,163,COYOTE WAY,163 COYOTE WAY
-12840405.8939,6638157.5462,2148,314,1451B,PALLISER TRAIL,314-1451B PALLISER TRAIL
-12841940.1613,6636872.421,2149,3,801,7TH STREET,3-801 7TH STREET
-12841969.9443,6636548.4557,2150,3,805,5TH STREET,3-805 5TH STREET
-12838206.1615,6632253.6869,2151,,155,CROSSBOW PLACE,155 CROSSBOW PLACE
-12838490.0964,6635691.7382,2152,,66A,RIVERSTONE ROAD,66A RIVERSTONE ROAD
-12840453.3959,6637468.3138,2153,136,901,MOUNTAIN STREET,136-901 MOUNTAIN STREET
-12840660.2381,6636449.7161,2154,303,505,SPRING CREEK DRIVE,303-505 SPRING CREEK DRIVE
-12837441.1903,6630824.7603,2155,601,70,DYRGAS GATE,601-70 DYRGAS GATE
-12838828.5531,6636511.2141,2156,,323,PIONEER ROAD,323 PIONEER ROAD
-12839899.5413,6636356.5398,2157,217,107,MONTANE ROAD,217-107 MONTANE ROAD
-12838219.3046,6635467.2763,2158,50,200,GLACIER DRIVE,50-200 GLACIER DRIVE
-12839706.2549,6637066.5319,2159,,138,COUGAR POINT ROAD,138 COUGAR POINT ROAD
-12838204.5295,6632351.4461,2160,211,175,CROSSBOW PLACE,211-175 CROSSBOW PLACE
-12839645.9139,6635618.5632,2161,312,10,LINCOLN PARK,312-10 LINCOLN PARK
-12839241.3356,6637308.2328,2162,,112,BENCHLANDS TERRACE,112 BENCHLANDS TERRACE
-12840453.3959,6637468.3138,2163,415,901,MOUNTAIN STREET,415-901 MOUNTAIN STREET
-12839145.0904,6636867.8999,2164,3,6,BLACKROCK CRESCENT,3-6 BLACKROCK CRESCENT
-12839201.7732,6636793.0211,2165,1,3,BLACKROCK CRESCENT,1-3 BLACKROCK CRESCENT
-12841118.452,6638016.3791,2166,,205,13TH STREET,205 13TH STREET
-12839808.6222,6635938.0363,2167,114,190,KANANASKIS WAY,114-190 KANANASKIS WAY
-12840580.2806,6637448.0058,2168,101,1151,SIDNEY STREET,101-1151 SIDNEY STREET
-12843046.9397,6633825.7399,2169,,1004B,LAWRENCE GRASSI RIDGE,1004B LAWRENCE GRASSI RIDGE
-12837367.2433,6630301.7849,2170,903,109,ARMSTRONG PLACE,903-109 ARMSTRONG PLACE
-12843130.287,6636498.7604,2171,,286A,THREE SISTERS DRIVE,286A THREE SISTERS DRIVE
-12840580.2806,6637448.0058,2172,,1151,SIDNEY STREET,1151 SIDNEY STREET
-12840453.3959,6637468.3138,2173,,901,MOUNTAIN STREET,901 MOUNTAIN STREET
-12837863.8367,6630923.1853,2174,,414,RIVA HEIGHTS,414 RIVA HEIGHTS
-12837289.0739,6630315.1252,2175,304,108,ARMSTRONG PLACE,304-108 ARMSTRONG PLACE
-12839530.1019,6636952.5648,2176,,205,COUGAR POINT ROAD,205 COUGAR POINT ROAD
-12839646.732,6635924.3203,2177,301,186,KANANASKIS WAY,301-186 KANANASKIS WAY
-12839995.3349,6636550.4704,2178,208,121,KANANASKIS WAY,208-121 KANANASKIS WAY
-12839689.8458,6636258.0148,2179,100,170,KANANASKIS WAY,100-170 KANANASKIS WAY
-12841810.0356,6637069.2512,2180,107,721,8TH (Main) STREET,107-721 8TH (Main) STREET
-12841736.4147,6634757.0309,2181,,15,PROSPECT HEIGHTS,15 PROSPECT HEIGHTS
-12840279.0971,6639516.5068,2182,,1,JUNIPER RIDGE,1 JUNIPER RIDGE
-12841194.307,6634025.9999,2183,,2,VAN HORNE,2 VAN HORNE
-12839985.6544,6640342.6533,2184,,3000,SILVERTIP TRAIL,3000 SILVERTIP TRAIL
-12838352.2767,6637531.6208,2185,,434,EAGLE HEIGHTS,434 EAGLE HEIGHTS
-12841031.0702,6638207.1653,2186,212,1330,1ST AVENUE,212-1330 1ST AVENUE
-12837680.208,6630759.9558,2187,,108,RIVA COURT,108 RIVA COURT
-12838263.1392,6636550.9486,2188,,130,COYOTE WAY,130 COYOTE WAY
-12843572.9037,6639533.439,2189,,807,LARCH PLACE,807 LARCH PLACE
-12842747.5474,6635408.5365,2190,1,1017,OLYMPIC DRIVE,1-1017 OLYMPIC DRIVE
-12837513.0174,6630837.674,2191,703,70,DYRGAS GATE,703-70 DYRGAS GATE
-12839246.8581,6636891.2639,2192,5,10,BLACKROCK CRESCENT,5-10 BLACKROCK CRESCENT
-12843065.5767,6636396.7381,2193,,274B,THREE SISTERS DRIVE,274B THREE SISTERS DRIVE
-12841946.5326,6637698.0211,2194,,1267,7TH AVENUE,1267 7TH AVENUE
-12838775.6053,6637354.6171,2195,10,137,WAPITI CLOSE,10-137 WAPITI CLOSE
-12838009.4002,6637179.3591,2196,10,300,EAGLE TERRACE ROAD,10-300 EAGLE TERRACE ROAD
